"Notes","Month","Month Code",Deaths,Population,Crude Rate
,"Jan., 1999","1999/01",227604,Not Applicable,Not Applicable
,"Feb., 1999","1999/02",208174,Not Applicable,Not Applicable
,"Mar., 1999","1999/03",226765,Not Applicable,Not Applicable
,"Apr., 1999","1999/04",196544,Not Applicable,Not Applicable
,"May, 1999","1999/05",191982,Not Applicable,Not Applicable
,"Jun., 1999","1999/06",180153,Not Applicable,Not Applicable
,"Jul., 1999","1999/07",186866,Not Applicable,Not Applicable
,"Aug., 1999","1999/08",182496,Not Applicable,Not Applicable
,"Sep., 1999","1999/09",180310,Not Applicable,Not Applicable
,"Oct., 1999","1999/10",195639,Not Applicable,Not Applicable
,"Nov., 1999","1999/11",192085,Not Applicable,Not Applicable
,"Dec., 1999","1999/12",222781,Not Applicable,Not Applicable
,"Jan., 2000","2000/01",247828,Not Applicable,Not Applicable
,"Feb., 2000","2000/02",203318,Not Applicable,Not Applicable
,"Mar., 2000","2000/03",201836,Not Applicable,Not Applicable
,"Apr., 2000","2000/04",190426,Not Applicable,Not Applicable
,"May, 2000","2000/05",193111,Not Applicable,Not Applicable
,"Jun., 2000","2000/06",183122,Not Applicable,Not Applicable
,"Jul., 2000","2000/07",188570,Not Applicable,Not Applicable
,"Aug., 2000","2000/08",188688,Not Applicable,Not Applicable
,"Sep., 2000","2000/09",186962,Not Applicable,Not Applicable
,"Oct., 2000","2000/10",199825,Not Applicable,Not Applicable
,"Nov., 2000","2000/11",199294,Not Applicable,Not Applicable
,"Dec., 2000","2000/12",220371,Not Applicable,Not Applicable
,"Jan., 2001","2001/01",226637,Not Applicable,Not Applicable
,"Feb., 2001","2001/02",198684,Not Applicable,Not Applicable
,"Mar., 2001","2001/03",215524,Not Applicable,Not Applicable
,"Apr., 2001","2001/04",202723,Not Applicable,Not Applicable
,"May, 2001","2001/05",200634,Not Applicable,Not Applicable
,"Jun., 2001","2001/06",191219,Not Applicable,Not Applicable
,"Jul., 2001","2001/07",191263,Not Applicable,Not Applicable
,"Aug., 2001","2001/08",190960,Not Applicable,Not Applicable
,"Sep., 2001","2001/09",188834,Not Applicable,Not Applicable
,"Oct., 2001","2001/10",202447,Not Applicable,Not Applicable
,"Nov., 2001","2001/11",197164,Not Applicable,Not Applicable
,"Dec., 2001","2001/12",210336,Not Applicable,Not Applicable
,"Jan., 2002","2002/01",225981,Not Applicable,Not Applicable
,"Feb., 2002","2002/02",209433,Not Applicable,Not Applicable
,"Mar., 2002","2002/03",226471,Not Applicable,Not Applicable
,"Apr., 2002","2002/04",199782,Not Applicable,Not Applicable
,"May, 2002","2002/05",199866,Not Applicable,Not Applicable
,"Jun., 2002","2002/06",187688,Not Applicable,Not Applicable
,"Jul., 2002","2002/07",193274,Not Applicable,Not Applicable
,"Aug., 2002","2002/08",191023,Not Applicable,Not Applicable
,"Sep., 2002","2002/09",187561,Not Applicable,Not Applicable
,"Oct., 2002","2002/10",199975,Not Applicable,Not Applicable
,"Nov., 2002","2002/11",202310,Not Applicable,Not Applicable
,"Dec., 2002","2002/12",220023,Not Applicable,Not Applicable
,"Jan., 2003","2003/01",224122,Not Applicable,Not Applicable
,"Feb., 2003","2003/02",200529,Not Applicable,Not Applicable
,"Mar., 2003","2003/03",213548,Not Applicable,Not Applicable
,"Apr., 2003","2003/04",199379,Not Applicable,Not Applicable
,"May, 2003","2003/05",199161,Not Applicable,Not Applicable
,"Jun., 2003","2003/06",191526,Not Applicable,Not Applicable
,"Jul., 2003","2003/07",193630,Not Applicable,Not Applicable
,"Aug., 2003","2003/08",192520,Not Applicable,Not Applicable
,"Sep., 2003","2003/09",188503,Not Applicable,Not Applicable
,"Oct., 2003","2003/10",202794,Not Applicable,Not Applicable
,"Nov., 2003","2003/11",201078,Not Applicable,Not Applicable
,"Dec., 2003","2003/12",241498,Not Applicable,Not Applicable
,"Jan., 2004","2004/01",237760,Not Applicable,Not Applicable
,"Feb., 2004","2004/02",204182,Not Applicable,Not Applicable
,"Mar., 2004","2004/03",209995,Not Applicable,Not Applicable
,"Apr., 2004","2004/04",196362,Not Applicable,Not Applicable
,"May, 2004","2004/05",194476,Not Applicable,Not Applicable
,"Jun., 2004","2004/06",186273,Not Applicable,Not Applicable
,"Jul., 2004","2004/07",190732,Not Applicable,Not Applicable
,"Aug., 2004","2004/08",189386,Not Applicable,Not Applicable
,"Sep., 2004","2004/09",184417,Not Applicable,Not Applicable
,"Oct., 2004","2004/10",198213,Not Applicable,Not Applicable
,"Nov., 2004","2004/11",193805,Not Applicable,Not Applicable
,"Dec., 2004","2004/12",212014,Not Applicable,Not Applicable
,"Jan., 2005","2005/01",226433,Not Applicable,Not Applicable
,"Feb., 2005","2005/02",213336,Not Applicable,Not Applicable
,"Mar., 2005","2005/03",231095,Not Applicable,Not Applicable
,"Apr., 2005","2005/04",204835,Not Applicable,Not Applicable
,"May, 2005","2005/05",200826,Not Applicable,Not Applicable
,"Jun., 2005","2005/06",187375,Not Applicable,Not Applicable
,"Jul., 2005","2005/07",191366,Not Applicable,Not Applicable
,"Aug., 2005","2005/08",190791,Not Applicable,Not Applicable
,"Sep., 2005","2005/09",185480,Not Applicable,Not Applicable
,"Oct., 2005","2005/10",198014,Not Applicable,Not Applicable
,"Nov., 2005","2005/11",198613,Not Applicable,Not Applicable
,"Dec., 2005","2005/12",219853,Not Applicable,Not Applicable
,"Jan., 2006","2006/01",220085,Not Applicable,Not Applicable
,"Feb., 2006","2006/02",201034,Not Applicable,Not Applicable
,"Mar., 2006","2006/03",222198,Not Applicable,Not Applicable
,"Apr., 2006","2006/04",202085,Not Applicable,Not Applicable
,"May, 2006","2006/05",200628,Not Applicable,Not Applicable
,"Jun., 2006","2006/06",188402,Not Applicable,Not Applicable
,"Jul., 2006","2006/07",194576,Not Applicable,Not Applicable
,"Aug., 2006","2006/08",190968,Not Applicable,Not Applicable
,"Sep., 2006","2006/09",188178,Not Applicable,Not Applicable
,"Oct., 2006","2006/10",202201,Not Applicable,Not Applicable
,"Nov., 2006","2006/11",200453,Not Applicable,Not Applicable
,"Dec., 2006","2006/12",215456,Not Applicable,Not Applicable
,"Jan., 2007","2007/01",222105,Not Applicable,Not Applicable
,"Feb., 2007","2007/02",204717,Not Applicable,Not Applicable
,"Mar., 2007","2007/03",218120,Not Applicable,Not Applicable
,"Apr., 2007","2007/04",202921,Not Applicable,Not Applicable
,"May, 2007","2007/05",199703,Not Applicable,Not Applicable
,"Jun., 2007","2007/06",188207,Not Applicable,Not Applicable
,"Jul., 2007","2007/07",192327,Not Applicable,Not Applicable
,"Aug., 2007","2007/08",191759,Not Applicable,Not Applicable
,"Sep., 2007","2007/09",188466,Not Applicable,Not Applicable
,"Oct., 2007","2007/10",198633,Not Applicable,Not Applicable
,"Nov., 2007","2007/11",200136,Not Applicable,Not Applicable
,"Dec., 2007","2007/12",216618,Not Applicable,Not Applicable
,"Jan., 2008","2008/01",223909,Not Applicable,Not Applicable
,"Feb., 2008","2008/02",223441,Not Applicable,Not Applicable
,"Mar., 2008","2008/03",232715,Not Applicable,Not Applicable
,"Apr., 2008","2008/04",206801,Not Applicable,Not Applicable
,"May, 2008","2008/05",202428,Not Applicable,Not Applicable
,"Jun., 2008","2008/06",190594,Not Applicable,Not Applicable
,"Jul., 2008","2008/07",191990,Not Applicable,Not Applicable
,"Aug., 2008","2008/08",191929,Not Applicable,Not Applicable
,"Sep., 2008","2008/09",187781,Not Applicable,Not Applicable
,"Oct., 2008","2008/10",200535,Not Applicable,Not Applicable
,"Nov., 2008","2008/11",201557,Not Applicable,Not Applicable
,"Dec., 2008","2008/12",218304,Not Applicable,Not Applicable
,"Jan., 2009","2009/01",222962,Not Applicable,Not Applicable
,"Feb., 2009","2009/02",200429,Not Applicable,Not Applicable
,"Mar., 2009","2009/03",216167,Not Applicable,Not Applicable
,"Apr., 2009","2009/04",202955,Not Applicable,Not Applicable
,"May, 2009","2009/05",200461,Not Applicable,Not Applicable
,"Jun., 2009","2009/06",190946,Not Applicable,Not Applicable
,"Jul., 2009","2009/07",194584,Not Applicable,Not Applicable
,"Aug., 2009","2009/08",192483,Not Applicable,Not Applicable
,"Sep., 2009","2009/09",189714,Not Applicable,Not Applicable
,"Oct., 2009","2009/10",207291,Not Applicable,Not Applicable
,"Nov., 2009","2009/11",201347,Not Applicable,Not Applicable
,"Dec., 2009","2009/12",217824,Not Applicable,Not Applicable
,"Jan., 2010","2010/01",222783,Not Applicable,Not Applicable
,"Feb., 2010","2010/02",200226,Not Applicable,Not Applicable
,"Mar., 2010","2010/03",218934,Not Applicable,Not Applicable
,"Apr., 2010","2010/04",202287,Not Applicable,Not Applicable
,"May, 2010","2010/05",203927,Not Applicable,Not Applicable
,"Jun., 2010","2010/06",192477,Not Applicable,Not Applicable
,"Jul., 2010","2010/07",198971,Not Applicable,Not Applicable
,"Aug., 2010","2010/08",196906,Not Applicable,Not Applicable
,"Sep., 2010","2010/09",193129,Not Applicable,Not Applicable
,"Oct., 2010","2010/10",206851,Not Applicable,Not Applicable
,"Nov., 2010","2010/11",206128,Not Applicable,Not Applicable
,"Dec., 2010","2010/12",225816,Not Applicable,Not Applicable
,"Jan., 2011","2011/01",233690,Not Applicable,Not Applicable
,"Feb., 2011","2011/02",211783,Not Applicable,Not Applicable
,"Mar., 2011","2011/03",225194,Not Applicable,Not Applicable
,"Apr., 2011","2011/04",208288,Not Applicable,Not Applicable
,"May, 2011","2011/05",208356,Not Applicable,Not Applicable
,"Jun., 2011","2011/06",197330,Not Applicable,Not Applicable
,"Jul., 2011","2011/07",202091,Not Applicable,Not Applicable
,"Aug., 2011","2011/08",200504,Not Applicable,Not Applicable
,"Sep., 2011","2011/09",195381,Not Applicable,Not Applicable
,"Oct., 2011","2011/10",207974,Not Applicable,Not Applicable
,"Nov., 2011","2011/11",206139,Not Applicable,Not Applicable
,"Dec., 2011","2011/12",218728,Not Applicable,Not Applicable
,"Jan., 2012","2012/01",225368,Not Applicable,Not Applicable
,"Feb., 2012","2012/02",208962,Not Applicable,Not Applicable
,"Mar., 2012","2012/03",221438,Not Applicable,Not Applicable
,"Apr., 2012","2012/04",208145,Not Applicable,Not Applicable
,"May, 2012","2012/05",207931,Not Applicable,Not Applicable
,"Jun., 2012","2012/06",198869,Not Applicable,Not Applicable
,"Jul., 2012","2012/07",203929,Not Applicable,Not Applicable
,"Aug., 2012","2012/08",204648,Not Applicable,Not Applicable
,"Sep., 2012","2012/09",200852,Not Applicable,Not Applicable
,"Oct., 2012","2012/10",213558,Not Applicable,Not Applicable
,"Nov., 2012","2012/11",214201,Not Applicable,Not Applicable
,"Dec., 2012","2012/12",235378,Not Applicable,Not Applicable
,"Jan., 2013","2013/01",261089,Not Applicable,Not Applicable
,"Feb., 2013","2013/02",217614,Not Applicable,Not Applicable
,"Mar., 2013","2013/03",232871,Not Applicable,Not Applicable
,"Apr., 2013","2013/04",213789,Not Applicable,Not Applicable
,"May, 2013","2013/05",210076,Not Applicable,Not Applicable
,"Jun., 2013","2013/06",200010,Not Applicable,Not Applicable
,"Jul., 2013","2013/07",204505,Not Applicable,Not Applicable
,"Aug., 2013","2013/08",204585,Not Applicable,Not Applicable
,"Sep., 2013","2013/09",198780,Not Applicable,Not Applicable
,"Oct., 2013","2013/10",211702,Not Applicable,Not Applicable
,"Nov., 2013","2013/11",211850,Not Applicable,Not Applicable
,"Dec., 2013","2013/12",230122,Not Applicable,Not Applicable
,"Jan., 2014","2014/01",243298,Not Applicable,Not Applicable
,"Feb., 2014","2014/02",211980,Not Applicable,Not Applicable
,"Mar., 2014","2014/03",228477,Not Applicable,Not Applicable
,"Apr., 2014","2014/04",215600,Not Applicable,Not Applicable
,"May, 2014","2014/05",216862,Not Applicable,Not Applicable
,"Jun., 2014","2014/06",204687,Not Applicable,Not Applicable
,"Jul., 2014","2014/07",209373,Not Applicable,Not Applicable
,"Aug., 2014","2014/08",208013,Not Applicable,Not Applicable
,"Sep., 2014","2014/09",205274,Not Applicable,Not Applicable
,"Oct., 2014","2014/10",218147,Not Applicable,Not Applicable
,"Nov., 2014","2014/11",221317,Not Applicable,Not Applicable
,"Dec., 2014","2014/12",243390,Not Applicable,Not Applicable
,"Jan., 2015","2015/01",265355,Not Applicable,Not Applicable